candidate_id,application_year,target_role_family,target_role_level,region,age_group,true_age,highest_degree,school_tier,graduation_year,gpa_bucket,years_experience_total,years_experience_relevant,num_employers,avg_tenure_years,months_since_last_role,num_gaps_over_6mo,most_recent_title,most_recent_company_size,management_years,reports_max,num_skills_listed,num_programming_languages,num_cloud_platforms,num_databases,skill_python,skill_java,skill_javascript,skill_go,skill_kubernetes,skill_aws,skill_gcp,skill_azure,skill_sql,skill_spark,skill_terraform,skill_linux,skill_ml,modern_tech_count,legacy_tech_count,cert_count,has_top_cloud_cert,github_url_present,portfolio_url_present,open_source_mentions,patent_count,resume_word_count,bullet_count,quantified_impact_count,keyword_match_score,format_clean_score,salary_expectation_usd,willing_to_relocate,remote_only,estimated_start_year,tech_recency_score,leadership_signal_score,stability_score,callback,interview,offer,score_base_merit,score_experience_fit,score_management_fit,score_recency_reward,score_senior_title_penalty,score_structural_component,score_explicit_age_penalty,score_noise,score_final
cand_001414,2025,Security,Mid,US-West,30-39,32,None,3,2015,unknown,9.5531,8.05725,1,3.4360263,13,2,Staff Engineer,201-1000,1.2232844,5,5,6,0,2,False,True,True,False,True,False,True,False,True,False,False,False,False,5,0,0,False,True,False,True,0,659,43,7,0.867985,0.8716829,142968,False,True,2015,0.6627637,0.046698533,0.28086972,True,,,0.6701313,0.097629584,0.045303103,0.04,-0.0,0.18293267,-0.005,0.02398146,0.87204546
cand_018471,2025,Data,Senior,US-West,30-39,33,PhD,3,2014,3.5-3.7,6.2387824,5.7928805,2,2.7126756,4,0,Engineer,201-1000,3.617606,12,20,4,1,2,False,False,True,True,True,False,False,False,True,True,True,True,True,6,0,0,False,False,True,True,0,561,5,4,0.7394383,0.788537,137147,True,False,2019,0.7045543,0.13252819,0.31647882,True,,,0.59051085,0.09422758,0.049407538,0.048,-0.0,0.19163513,-0.005,-0.014216807,0.7629292
cand_029282,2025,SWE,Staff,India,50-59,58,MS,4,1990,3.5-3.7,34.625572,34.57333,7,3.4176328,1,1,Engineering Manager,1000+,11.774833,64,34,5,0,2,False,False,False,True,False,False,False,False,True,False,False,True,False,4,1,1,False,True,False,False,0,229,21,3,0.9167247,0.8127769,340151,True,False,1990,0.6225116,0.48124504,0.3387238,True,,,0.65140903,0.045550406,0.004507962,0.032,-0.0,0.08205837,-0.022,0.030159324,0.74162674
cand_015177,2025,Security,Entry,EU,50-59,54,BS,5,1992,unknown,33.407104,29.442303,10,2.0145476,0,0,Principal Engineer,11-50,6.641254,40,18,5,1,1,True,True,False,False,False,True,False,True,True,False,False,False,False,4,2,2,False,False,False,False,0,756,16,5,0.5879311,0.96744645,348298,False,False,1992,0.5575862,0.27923763,0.23503056,False,,,0.5792652,0.06253169,0.03303897,0.032,-0.01,0.11757066,-0.022,0.018267494,0.6931033
cand_034304,2025,Security,Mid,US-East,<30,28,HS,1,2020,unknown,3.49717,3.1507213,0,3.641175,16,1,Engineer,201-1000,0.0,2,17,4,1,3,True,True,True,False,True,True,True,False,True,False,False,True,False,4,0,1,False,True,False,True,0,564,54,2,0.65983975,0.6061002,66215,False,False,2022,0.55863464,0.004,0.36480373,False,,,0.514164,0.08861683,0.037741978,0.032,-0.0,0.15835881,-0.0,-0.0018101538,0.67071265
cand_012609,2025,IT,Director,UK,40-49,42,Bootcamp,3,2004,3.0-3.4,19.279806,19.206863,5,3.6952193,4,0,Staff Engineer,51-200,2.3514383,11,19,5,2,2,True,False,False,True,False,False,True,False,True,False,False,True,False,5,0,1,False,False,False,True,0,861,31,7,0.89141124,0.7982847,202578,False,True,2006,0.67494893,0.09254315,0.43110892,True,,,0.6636509,0.09229755,0.049347065,0.04,-0.0,0.18164462,-0.015,-0.05535392,0.77494156
cand_012144,2025,Data,Director,Canada,40-49,42,PhD,4,2005,unknown,16.427156,14.945464,5,3.7994976,4,0,Staff Engineer,11-50,6.019907,32,26,3,0,0,False,True,True,False,True,False,False,False,True,True,False,True,False,4,0,0,False,True,True,False,0,750,18,1,0.8136861,0.75202686,197774,False,True,2009,0.59940386,0.24459723,0.4432747,True,,,0.5911955,0.09867007,0.0376009,0.032,-0.0,0.16827098,-0.015,0.07971211,0.82417864
cand_006113,2025,Security,Mid,US-East,50-59,51,Bootcamp,3,1995,<3.0,28.242743,23.51131,6,3.0456967,5,1,Senior Engineering Manager,1000+,6.3248005,20,24,5,1,0,True,True,True,True,True,True,True,False,True,False,True,True,False,3,2,3,False,False,False,False,0,437,18,7,0.47208014,0.8400833,273306,False,False,1997,0.47024935,0.22974402,0.29533127,False,,,0.5252447,0.0815062,0.035395194,0.024,-0.02,0.120901406,-0.022,0.035766255,0.65991235
cand_015908,2025,Security,Entry,US-East,<30,28,HS,1,2020,3.0-3.4,4.7785497,4.6047244,2,3.9722822,25,1,Engineer,201-1000,0.0,0,5,7,2,1,True,True,True,True,True,True,True,False,True,True,True,True,False,5,0,1,False,False,False,True,0,794,38,5,0.95374084,0.6033774,92867,False,False,2020,0.66991484,0.0,0.4034329,True,,,0.63448477,0.09190651,0.037741978,0.04,-0.0,0.1696485,-0.0,-0.014901439,0.78923184
cand_000821,2025,Security,Senior,Other,30-39,37,HS,2,2009,unknown,15.007942,13.085916,4,3.5549319,0,0,Engineering Manager,1-10,3.4446564,22,22,4,1,1,False,True,False,False,False,True,True,False,False,False,True,True,False,3,0,1,True,True,False,True,0,644,49,3,0.8809959,0.65227747,191467,False,False,2010,0.5561992,0.1473397,0.41474205,True,,,0.6068041,0.09981819,0.049692016,0.024,-0.0,0.17351021,-0.005,-0.032942515,0.74237174
cand_015118,2025,SRE,Entry,EU,40-49,43,AA,2,2003,unknown,21.935272,20.656498,5,1.2438359,4,0,Senior Engineering Manager,1-10,7.975318,52,50,3,0,2,False,False,True,True,True,True,False,False,False,True,True,True,True,4,0,0,False,True,True,True,0,818,42,5,0.9260059,0.8354365,273741,False,False,2003,0.62186784,0.34325954,0.14511418,True,,,0.6711893,0.08907955,0.02306848,0.032,-0.02,0.12414804,-0.015,0.014967696,0.795305
cand_013466,2025,SRE,Mid,Other,30-39,33,HS,3,2014,unknown,11.583975,8.949049,4,4.080118,3,0,Senior Engineer,201-1000,0.20094435,1,22,2,2,0,True,False,False,False,True,True,True,True,True,True,True,True,False,5,0,3,False,False,False,False,0,564,45,6,0.8898167,0.9267129,135200,False,False,2013,0.6754633,0.008028331,0.47601378,True,,,0.6827785,0.09857381,0.039141696,0.04,-0.0,0.17771551,-0.005,-0.011372659,0.84412134
cand_026497,2025,Sales,Entry,Other,40-49,47,None,2,2000,unknown,23.952093,20.502295,7,3.6611068,3,2,Engineering Manager,1-10,6.7347817,14,24,3,0,0,True,False,False,True,False,True,True,False,False,True,True,True,True,2,0,0,False,True,True,False,0,667,36,4,0.86547583,0.6322191,233287,False,False,2001,0.49059516,0.23004346,0.30712914,False,,,0.6033603,0.089444034,0.032334328,0.016,-0.0,0.13777836,-0.015,-0.05823865,0.6679
cand_042111,2025,Data,Entry,EU,<30,26,None,2,2021,unknown,4.439686,3.6638699,0,1.8843145,7,0,Senior Engineer,51-200,1.2733089,11,17,5,0,3,True,False,False,True,True,True,True,False,True,False,False,True,False,4,0,0,False,True,False,False,0,680,10,1,0.7903024,0.8744641,111275,True,False,2021,0.59222716,0.06019927,0.2198367,True,,,0.6074987,0.08983107,0.0455519,0.032,-0.0,0.16738297,-0.0,0.015619416,0.79050106
cand_030188,2025,PM,Staff,UK,<30,24,PhD,2,2022,unknown,0.1291294,0.11475274,0,2.065876,5,0,Intern,51-200,1.7034743,17,20,4,0,2,True,False,True,False,True,False,False,False,True,False,False,True,False,4,0,0,False,False,True,False,0,544,5,2,0.61426765,0.7747947,75083,True,False,2025,0.55868685,0.08510423,0.24101886,False,,,0.5319526,0.080413155,0.047441266,0.032,-0.0,0.15985443,-0.0,-0.004768289,0.6870387
cand_037237,2025,PM,Mid,US-East,30-39,30,HS,5,2017,3.5-3.7,7.165676,5.8376126,3,1.5883402,0,0,Senior Engineer,1000+,1.0075142,12,10,3,0,0,True,False,True,False,True,True,False,False,True,False,True,False,False,3,0,1,False,True,True,True,0,409,31,4,0.53930736,0.7453422,147694,True,False,2018,0.48786145,0.05422543,0.18530636,False,,,0.51182604,0.09430807,0.044166233,0.024,-0.0,0.1624743,-0.005,0.03770907,0.7070094
cand_033109,2025,IT,Senior,Canada,50-59,51,None,4,1995,3.0-3.4,28.348963,26.708546,9,3.700794,4,1,Principal Engineer,201-1000,8.992888,18,22,6,0,2,False,True,False,False,False,True,True,True,True,False,True,True,False,4,0,2,False,False,False,True,0,964,21,4,0.96515393,0.6271696,262488,True,True,1997,0.62969744,0.30578667,0.3717593,False,,,0.6372378,0.0716154,0.016275948,0.032,-0.01,0.10989135,-0.022,-0.036317647,0.6888115
cand_036480,2025,PM,Staff,US-West,60+,66,BS,3,1981,unknown,43.078125,40.824753,17,3.847216,0,1,Principal Engineer,1-10,11.4970875,88,29,3,1,1,True,True,False,True,True,False,False,False,True,False,True,True,False,2,3,2,False,True,False,True,0,732,30,5,0.6915043,0.64831966,417934,False,True,1982,0.45830086,0.52091265,0.38884184,False,,,0.55169046,0.027742594,0.005237046,0.016,-0.01,0.038979642,-0.032,0.08115672,0.63982683
cand_024148,2025,SWE,Entry,US-East,30-39,36,HS,1,2011,3.0-3.4,12.285531,9.609878,3,2.2520466,6,0,Staff Engineer,11-50,1.587419,15,27,1,1,2,False,False,False,False,True,True,False,False,True,False,True,True,True,4,0,1,False,True,False,True,0,339,22,3,0.47125283,0.94105893,138830,False,False,2013,0.52925056,0.07762258,0.26273876,False,,,0.5211503,0.09912229,0.046977427,0.032,-0.0,0.17809972,-0.005,-0.010069961,0.68418
cand_005503,2025,IT,Senior,EU,50-59,59,HS,1,1988,<3.0,35.678818,29.171711,8,3.4813924,0,1,Principal Engineer,51-200,8.753903,55,7,4,1,4,True,True,True,False,True,True,False,False,False,False,True,True,False,2,2,0,False,True,False,False,0,647,22,3,0.75561607,0.78201735,335965,False,False,1989,0.47112322,0.37261713,0.34616244,False,,,0.5888691,0.063442096,0.017768312,0.016,-0.01,0.08721041,-0.022,-0.023721218,0.6303583
cand_003918,2025,SWE,Mid,US-East,60+,61,PhD,2,1985,unknown,38.100082,31.60465,9,2.27754,6,1,Engineering Manager,51-200,8.92501,52,31,4,1,1,False,True,True,False,True,True,True,True,True,False,False,True,False,2,2,2,False,True,False,False,0,582,29,2,0.78583735,0.64854187,395139,True,False,1987,0.4721675,0.37175032,0.205713,False,,,0.5667515,0.05526,0.016692651,0.016,-0.0,0.08795265,-0.032,0.00021104772,0.6229152
cand_038478,2025,IT,Director,Canada,30-39,32,None,4,2016,unknown,8.483357,6.5387197,2,2.16414,6,1,Senior Engineer,1-10,2.324327,5,19,5,2,1,True,True,True,False,False,True,False,True,True,False,False,True,False,3,0,1,False,False,False,False,0,463,19,5,0.9489499,0.7010302,118528,False,False,2017,0.56479,0.07972981,0.19248298,True,,,0.6523385,0.09550162,0.049291726,0.024,-0.0,0.16879335,-0.005,-0.009992077,0.80613977
cand_021123,2025,PM,Senior,India,<30,23,PhD,2,2023,3.5-3.7,0.34264743,0.26703417,0,2.6421912,0,0,Intern,1-10,0.44607964,0,31,1,0,2,True,False,False,False,False,True,False,True,True,True,False,True,True,4,0,3,False,False,True,False,1,664,36,6,0.92264557,0.76789135,77808,False,False,2025,0.6245291,0.013382389,0.30825564,True,,,0.6625042,0.08086071,0.040780116,0.032,-0.0,0.15364084,-0.0,0.011050534,0.8271956
cand_049717,2025,Security,Senior,Other,<30,23,BS,4,2025,unknown,0.0,0.0,0,2.4033835,20,1,Intern,51-200,0.13228409,0,24,2,0,1,False,True,True,True,False,False,True,False,True,False,True,True,False,5,0,3,False,False,False,False,0,394,50,2,0.5684726,0.8132466,83028,False,False,2025,0.5970279,0.003968523,0.22039473,False,,,0.52361476,0.08007374,0.03866866,0.04,-0.0,0.1587424,-0.0,0.0069714985,0.6893287
cand_042294,2025,IT,Manager,Other,<30,29,BS,2,2018,unknown,4.337512,3.5701842,0,4.014513,0,0,Engineer,51-200,0.0,3,32,5,0,4,False,False,True,False,True,True,False,False,False,True,False,True,True,6,0,1,False,False,True,True,1,608,57,1,0.94018,0.8008306,109337,True,False,2021,0.748036,0.006,0.46835986,True,,,0.64522916,0.08961359,0.037741978,0.048,-0.0,0.17535555,-0.0,0.03306962,0.8536543
cand_047609,2025,Data,Entry,US-Central,40-49,42,BS,4,2004,3.0-3.4,16.351093,14.370016,4,3.2592874,0,0,Principal Engineer,1-10,5.6270156,32,17,1,1,2,True,True,True,False,True,True,False,False,True,True,True,False,False,3,0,0,False,True,False,False,0,491,30,4,0.7207155,0.6326449,224883,True,False,2009,0.5241431,0.2328105,0.3802502,False,,,0.55277944,0.09913693,0.04030035,0.024,-0.01,0.15343729,-0.015,-9.52529e-05,0.69112146
cand_011076,2025,PM,Director,Other,30-39,37,PhD,2,2010,unknown,15.05893,12.834698,2,3.499502,11,0,Engineering Manager,1-10,3.8466334,14,26,4,1,2,True,False,True,False,True,True,False,False,True,False,False,True,True,7,1,1,False,True,True,False,1,1054,25,3,0.7512564,0.6181176,215792,True,True,2010,0.7610846,0.14339902,0.40827525,True,,,0.5545633,0.099892534,0.04889247,0.055999998,-0.0,0.20478499,-0.005,0.01646908,0.77081734
cand_041514,2025,SRE,Staff,Canada,30-39,35,AA,4,2013,<3.0,10.870223,8.177126,1,3.4161263,1,0,Senior Engineer,11-50,2.7510917,15,22,8,0,4,False,False,False,False,False,True,False,True,True,False,False,False,True,3,0,1,False,True,False,False,0,653,17,5,0.7598516,0.9495314,165008,False,False,2014,0.531137,0.11253276,0.39854804,True,,,0.63585436,0.09776994,0.049903285,0.024,-0.0,0.17167322,-0.005,-0.002571948,0.79995567
cand_022062,2025,Data,Manager,US-Central,50-59,55,PhD,2,1993,unknown,29.555967,22.533356,6,0.5,3,1,Senior Engineering Manager,1000+,10.6158495,19,32,5,0,1,True,True,True,False,True,False,False,False,True,False,True,True,False,4,2,1,True,True,False,False,0,773,40,1,0.83804905,0.867631,302521,True,False,1995,0.6051098,0.35647547,-0.0016666688,False,,,0.6228434,0.084263496,0.00816198,0.032,-0.02,0.104425475,-0.022,0.006290919,0.7115598
cand_009413,2025,SWE,Director,Other,<30,27,None,5,2020,<3.0,5.566997,4.8414235,1,2.6427157,1,0,Engineer,1-10,0.0,2,13,2,1,4,True,True,False,True,True,True,False,True,False,False,True,True,False,5,0,2,True,False,False,False,0,572,33,4,0.50515187,0.86228824,132385,True,True,2019,0.600197,0.004,0.30831683,False,,,0.52326083,0.09239641,0.037741978,0.04,-0.0,0.17013839,-0.0,0.012210293,0.7056095
cand_038340,2025,Data,Director,UK,50-59,57,HS,5,1990,3.5-3.7,32.514954,26.40933,9,3.5930007,13,1,Engineering Manager,51-200,8.061666,27,16,5,1,2,True,False,False,False,True,False,False,True,True,False,True,True,True,3,2,1,True,False,True,False,0,814,16,1,0.5104432,0.8379184,291116,True,False,1992,0.4712553,0.29584998,0.3591834,False,,,0.5022388,0.07258479,0.02245209,0.024,-0.0,0.11903688,-0.022,-0.026804991,0.57247066
cand_030263,2025,SWE,Director,EU,30-39,35,None,3,2011,unknown,14.05662,13.441292,2,4.1019883,0,1,Staff Engineer,201-1000,1.6178766,4,22,7,2,3,True,False,False,False,False,False,False,False,True,False,True,True,False,3,0,1,False,True,True,False,0,200,29,5,0.8244841,0.705484,147455,False,False,2011,0.54489684,0.056536302,0.4185653,True,,,0.6096662,0.09967994,0.047102556,0.024,-0.0,0.17078249,-0.005,-0.039739624,0.73570913
cand_041252,2025,Sales,Entry,US-East,40-49,46,None,5,2001,3.0-3.4,22.698013,19.615412,4,2.5903664,17,2,Engineering Manager,51-200,4.79391,20,42,1,2,2,True,True,True,False,True,True,False,True,True,False,True,True,True,2,1,1,False,False,False,False,0,577,10,3,0.69746906,0.63672036,264348,True,True,2002,0.44532716,0.18381731,0.1822094,False,,,0.5394583,0.09143904,0.04521627,0.016,-0.0,0.1526553,-0.015,-0.0030167263,0.6740969
cand_014644,2025,PM,Manager,Canada,<30,24,PhD,1,2023,3.5-3.7,1.390566,1.0536379,0,1.6700443,0,1,Engineer,51-200,0.0,5,5,7,1,1,True,True,True,False,False,False,False,True,True,False,False,True,False,5,0,2,False,False,False,False,0,834,35,4,0.74446154,0.83635473,96654,False,True,2024,0.6488923,0.010000001,0.1348385,True,,,0.6018325,0.08311776,0.037741978,0.04,-0.0,0.16085973,-0.0,-0.00731628,0.7553759
cand_026335,2025,Data,Mid,India,40-49,41,AA,5,2005,unknown,20.578695,17.529045,5,5.4202695,0,1,Principal Engineer,1-10,5.074031,19,35,3,0,2,True,False,True,False,True,False,False,False,True,False,True,False,False,3,0,3,False,True,True,False,0,647,25,4,0.8947511,0.66436845,224441,True,True,2004,0.5589502,0.19022094,0.57236475,False,,,0.6200366,0.0953919,0.043710917,0.024,-0.01,0.15310282,-0.015,-0.07147257,0.68666685
cand_028102,2025,Data,Staff,US-East,30-39,37,None,3,2010,3.0-3.4,15.196007,13.159835,5,2.4958265,5,0,Engineering Manager,1-10,5.567685,41,37,6,1,1,True,False,True,True,True,True,False,True,True,True,False,True,False,3,1,2,False,True,False,False,0,672,36,3,0.93930507,0.61175704,201014,False,False,2010,0.56369436,0.24903058,0.29117975,True,,,0.6191082,0.09979262,0.040690374,0.024,-0.0,0.164483,-0.005,0.022700403,0.80129164
cand_017523,2025,SWE,Manager,India,30-39,38,AA,2,2010,unknown,14.944441,13.841243,5,0.68503594,0,1,Engineering Manager,1000+,2.8573556,14,8,4,2,1,True,True,False,False,True,True,False,False,True,True,False,True,False,4,0,2,True,True,False,False,0,906,36,6,0.79397786,0.7281478,181053,True,False,2010,0.5987956,0.11372067,0.019920856,True,,,0.60952187,0.0994782,0.049968217,0.032,-0.0,0.18144642,-0.005,0.036571886,0.82254016
cand_024712,2025,PM,Staff,US-West,30-39,31,BS,2,2017,<3.0,6.8421307,5.666686,2,2.5427835,0,1,Engineer,51-200,0.0,0,13,1,1,2,True,False,True,False,True,False,True,False,True,False,False,True,False,4,0,1,True,False,True,True,0,721,23,4,0.8569911,0.73602116,123232,True,False,2018,0.6113982,0.0,0.23665807,True,,,0.6211511,0.09399774,0.037741978,0.032,-0.0,0.16373973,-0.005,-0.038186762,0.74170405
cand_040485,2025,SWE,Staff,EU,50-59,59,HS,4,1988,unknown,35.817646,34.395504,10,3.9325185,5,0,Director,11-50,12.0,87,32,2,3,4,False,False,True,False,False,True,False,False,True,True,True,True,False,2,3,0,False,False,False,True,0,481,33,2,0.7895106,0.883377,367038,False,True,1989,0.47373545,0.53400004,0.45879382,False,,,0.6150041,0.046116002,0.0039779753,0.016,-0.03,0.03609398,-0.022,0.029621733,0.65871984
cand_003850,2025,IT,Director,US-East,30-39,39,MS,1,2007,unknown,17.53164,15.738447,4,0.8807055,0,1,Staff Engineer,51-200,1.0238007,6,37,5,1,1,True,False,False,False,False,True,True,False,True,True,False,True,False,5,0,2,False,False,True,False,0,989,12,4,0.92802244,0.86099434,209949,True,False,2007,0.6856045,0.042714022,0.042748965,True,,,0.6710067,0.097866304,0.044255532,0.04,-0.0,0.18212184,-0.005,-0.04049163,0.8076369
cand_040040,2025,Sales,Senior,US-West,30-39,36,PhD,5,2010,unknown,15.692735,12.373928,4,3.295534,2,0,Staff Engineer,51-200,3.968169,31,36,3,0,3,False,True,False,False,False,False,True,True,True,False,False,True,False,3,1,0,False,False,False,False,0,898,7,4,0.5510221,0.92911863,181438,True,True,2009,0.48853776,0.18104509,0.38447896,True,,,0.55268145,0.09997843,0.048556633,0.024,-0.0,0.17253508,-0.005,0.10431493,0.82453144
cand_015267,2025,Security,Staff,US-West,60+,65,PhD,4,1981,3.0-3.4,40.722733,38.63048,11,1.3731514,15,1,Director,1000+,12.0,33,17,4,0,1,True,False,False,True,True,False,True,False,True,False,False,True,False,3,4,0,False,True,False,True,0,719,42,2,0.92485887,0.60642767,428947,False,False,1984,0.55247176,0.42600003,0.100200996,False,,,0.60698617,0.033473454,0.0039779753,0.024,-0.03,0.031451434,-0.032,0.018888908,0.6253265
cand_049146,2025,Data,Staff,EU,40-49,41,HS,2,2005,3.0-3.4,19.091919,16.2828,4,4.880208,0,0,Principal Engineer,1000+,5.4465365,24,25,2,1,2,True,True,True,True,True,False,False,True,True,False,True,False,False,3,1,0,False,True,False,False,0,681,27,7,0.6747919,0.9954179,207077,True,True,2006,0.5149584,0.2113961,0.56935763,True,,,0.6272607,0.09720907,0.04147019,0.024,-0.01,0.15267926,-0.015,0.015730219,0.78067017
